State,Gubernatorial?,House of Reps?,Statewide Referendums?,Other Relevant?
Alabama,,,,State House of Reps
Alaska,,,,
Arizona,,,,
Arkansas,,,,
California,,,Redistricting,Oakland Mayoral
Colorado,,,,Coorinated Statewide Election
Connecticut,,,,New Haven Ward 1 General
Delaware,,,,
Florida,,,,Miami Mayoral
Georgia,,,,"Atlanta Mayoral, State Senate "
Hawaii,,,,
Idaho,,,,Boise City Council
Illinois,,,,State Senate Elections
Indiana,,,,
Iowa,,,,Des Moines General
Kansas,,,,"Topeka Mayor & City Council, Witchita City Council"
Kentucky,,,,
Louisiana,,,,New Orleans Mayoral(11/15)
Maine,,,"Voter ID + ""Red Flag"" Gun Law",
Maryland,,,,
Massachusetts,,,,Boston Mayoral
Michigan,,,,"Detroit Mayoral, Lansing Mayoral & City Council"
Minnesota,,,,"Minneapolis Mayoral, St. Paul Mayoral & City Council, State Senate & House Elections"
Mississippi,,,,"State Senate Elections, Jackson Mayoral & City Council"
Missouri,,,,"St. Louis Mayoral  County (Jefferson City) Ballot Measure & City Council, "
Montana,,,,"Helena Mayoral & City Council, Billings Mayoral, Bozeman Mayoral, Great Falls Mayoral, Kalispell Mayoral"
Nebraska,,,,"Lincoln Nebraska City Council; Omaha, Mayor"
Nevada,,,,
New Hampshire,,,,
New Jersey,YES,,,"Jersey CIty, State Senate"
New Mexico,,,,"Albuquerque Mayoral, Santa Fe General"
New York,,,,NYC Mayoral
North Carolina,,,,"Charlotte Mayoral, Durham Mayoral, Greensboro General"
North Dakota,,,,
Ohio,,,,Cincinnati & Cleveland Mayoral
Oklahoma,,,,State Reps(12/09)
Oregon,,,,Portland Special Election
Pennsylvania,,,,"Pittsburg Mayoral, Allegheny County Special Election"
Rhode Island,,,,Providence City Coucil Ward 2
South Carolina,,,,SC State Senate & Reps
South Dakota,,,,
Tennessee,,7 (Middle-West Tennessee) (12/02),,
Texas,,18 (inner city Houston and the surrounding area),,"17 State Amendments, Fort Worth Mayoral, San Antonio Mayoral"
Utah,,,,
Vermont,,,,
Virginia,YES,,,
Washington,,,,"Seattle Mayoral, WA State Senate & Reps"
West Virginia,,,,
Wisconsin,,,,
Wyoming,,,,Statewide General